"doc_id","kind","status","title","issuer","doc_no","published","effective_from","effective_to","version","certified_by","file_path","page_unit","provides","note","source_doc","verified"
"D2","DATASET","PRESENT","NHSO Digital Platform Overview (23 มิ.ย. 2569)","สปสช.","","","","","1","","doc/2. NHSO.Digital.Platform.Overview.23.06.2569.pdf","น.","fundFiles","","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","1"
"D3","DATASET","PRESENT","โครงการ NHSO Digital Platform Communication V4","สปสช.","","","","","1","","doc/โครงการ NHSO Digital Platform_Commu_03082026_V4.pdf","สไลด์","fundList","","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","1"
"D4","MANUAL","MISSING","คู่มือการจัดกลุ่มวินิจฉัยโรคร่วม (Thai DRG) ฉบับที่โรงพยาบาลใช้","สกส.","","","","","0","","","น.","drgTable,trimPoint,adjRwFormula,mdc","ต้องได้ฉบับจริงก่อนจึงคิด AdjRW/เงินได้","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","0"
"D5","ANNOUNCE","MISSING","ประกาศอัตราจ่ายต่อน้ำหนักสัมพัทธ์ (บาท/RW) กรณีผู้ป่วยใน","สปสช.","","","","","0","","","น.","fundRate","ครอบคลุมสิทธิ UC/LGO/EMS","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","0"
"D6","ANNOUNCE","MISSING","หลักเกณฑ์และอัตราค่ารักษาพยาบาลผู้ป่วยใน สิทธิเบิกจ่ายตรง","กรมบัญชีกลาง","","","","","0","","","น.","fundRate,fundRule","ครอบคลุมสิทธิ OFC/LGO","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","0"
"D7","ANNOUNCE","MISSING","หลักเกณฑ์การจ่ายประโยชน์ทดแทนกรณีประสบอันตรายหรือเจ็บป่วย","สปส.","","","","","0","","","น.","fundRate,fundRule","ครอบคลุมสิทธิ SSS","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","0"
"D8","ANNOUNCE","MISSING","หลักเกณฑ์การจ่ายกรณีเจ็บป่วยฉุกเฉินวิกฤต (UCEP)","สพฉ./สปสช.","","","","","0","","","น.","fundRule","ครอบคลุมสิทธิ EMS ช่วง 72 ชม.","ยกจาก public/js/mock/mock-ipd.js (IPD_SOURCES)","0"
"DOC-NHSO-2569-012","ANNOUNCE","PRESENT","ประกาศหลักเกณฑ์การเบิกจ่ายค่ายาและสารอาหารทางเส้นเลือด","สำนักงานหลักประกันสุขภาพแห่งชาติ","สปสช. 04/2569","2026-07-01","2026-07-20","","3","U-008","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2569-008","ANNOUNCE","PRESENT","แนวปฏิบัติการตรวจสอบสิทธิและการปิดสิทธิก่อนส่งเบิก","สำนักงานหลักประกันสุขภาพแห่งชาติ","สปสช. 02/2569","2026-05-15","2026-06-01","","2","U-008","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2569-015","ANNOUNCE","PRESENT","หลักเกณฑ์การเบิกค่าบริการสาธารณสุขกรณีอุบัติเหตุและเจ็บป่วยฉุกเฉิน","สำนักงานหลักประกันสุขภาพแห่งชาติ","สปสช. 06/2569","2026-03-10","2026-04-01","","1","U-008","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
