"version_code","drg_code","rw0d","wtlos","ot","of_factor","drg_kind","source_doc","source_ref","verified"
"TDRG-6.3","04530","","5.80","17.40","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","04510","","4.60","13.80","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","05450","","4.20","12.60","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","05220","","6.40","19.20","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","01180","","7.20","21.60","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","06450","","3.20","9.60","","SURGICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","06210","","4.00","12.00","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","08340","","8.50","25.50","","SURGICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","10220","","4.10","12.30","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","11240","","3.80","11.40","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","11510","","5.50","16.50","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","14030","","2.40","7.20","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","14012","","3.60","10.80","","SURGICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
"TDRG-6.3","18110","","8.00","24.00","","MEDICAL","อนุมานจาก ALOS ในตารางจำลอง (OT = 3 x WtLOS ตามคู่มือ) — rw0d/OF ยังไม่มีในเอกสารที่มี","","0"
