version_code,drg_code,mdc,description_th,rw,alos,trim_low,trim_high,pdx_codes,source_doc,source_ref,source_date,verified
TDRG-6.3,04530,04,ปอดอักเสบ มีโรคร่วม/โรคแทรก,1.4820,5.8,2,14,J18.9|J15.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,04510,04,ปอดอุดกั้นเรื้อรัง กำเริบ,1.0230,4.6,1,12,J44.1|J44.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,05450,05,หัวใจล้มเหลว ไม่มีโรคแทรก,0.9812,4.2,1,11,I50.0|I50.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,05220,05,กล้ามเนื้อหัวใจขาดเลือดเฉียบพลัน,2.6480,6.4,2,16,I21.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,01180,01,โรคหลอดเลือดสมอง,2.1560,7.2,2,18,I63.9|I61.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,06450,06,ผ่าตัดไส้ติ่ง,1.2380,3.2,1,9,K35.8|K35.3,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,06210,06,เลือดออกทางเดินอาหาร,1.1250,4.0,1,10,K92.2|K29.7,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,08340,08,ผ่าตัดยึดตรึงกระดูกสะโพก/ต้นขา,3.2140,8.5,3,21,S72.0|S72.1,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,10220,10,เบาหวานมีภาวะแทรกซ้อน,0.9120,4.1,1,10,E11.9|E11.65,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,11240,11,ติดเชื้อทางเดินปัสสาวะ,0.8450,3.8,1,9,N39.0,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,11510,11,ไตวายเรื้อรัง ต้องฟอกเลือด,1.7340,5.5,2,15,N18.3|N18.5,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,14030,14,คลอดปกติทางช่องคลอด,0.5620,2.4,1,6,O80,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,14012,14,ผ่าตัดคลอดทางหน้าท้อง,1.0940,3.6,2,9,O82,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
TDRG-6.3,18110,18,ภาวะติดเชื้อในกระแสเลือด,2.4870,8.0,2,20,A41.9,ค่าจำลองในต้นแบบ — รอตาราง RW จาก สกส.,,,0
