"system","code","category","level","file_no","description_th","fix_guidance_th","effective_from","effective_to","source_doc","source_ref","source_date","verified"
"ECLAIM","C101","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ไม่มีชื่อ-สกุลผู้ป่วย","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C102","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ข้อมูลวันเกิดผู้ป่วยใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C103","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ข้อมูลเพศผู้ป่วยใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C104","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เลขบัตรประชาชนของผู้ป่วย ใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C105","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","HN ไม่มี หรือใช้ไม่ได้","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C106","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","AN ไม่มี หรือใช้ไม่ได้","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C107","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","วันที่รับไว้หรือวันที่จำหน่ายใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C108","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ไม่มีวันที่จำหน่าย","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C109","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เวลาที่รับไว้ในร.พ.ใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C110","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เวลาที่จำหน่ายออกจากร.พ.ใช้ไม่ได้ หรือไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C111","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ประเภทการจำหน่าย ใช้ไม่ได้/ไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C112","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","สถานภาพเมื่อจำหน่าย ใช้ไม่ได้/ไม่มี","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C113","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ประเภทการจำหน่าย และสถานภาพเมื่อจำหน่าย ไม่สอดคล้องกัน","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C114","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","น้ำหนักตัวแรกรับ ใช้ไม่ได้ หรือไม่มี (กลุ่มเด็กแรกเกิด)","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C115","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ไม่ระบุการใช้สิทธิ หรือ ไม่ต้องการเบิกชดเชยค่าบริการ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C116","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เลขบัตรประชาชนของผู้ป่วย ผิดรูปแบบ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C117","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","รูปแบบ (Format) การบันทึกข้อมูลการเงินไม่ถูกต้อง","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C118","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","จากเลขบัตรประชาชน บันทึกเพศไม่ตรงกับเพศที่ตรวจสอบได้ใน สนบท.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C119","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","จากเลขบัตรประชาชน บันทึกวัน เดือน ปีเกิด ไม่ตรงกับวัน เดือน ปี เกิดที่ตรวจสอบได้ใน สนบท.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C120","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","วันที่รับไว้ ก่อนวันเกิด","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C121","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","วัน/เวลาที่รับไว้ในร.พ. หลังวันที่จำหน่าย","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C122","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เป็นข้อมูลสิทธิข้าราชการของหน่วยบริการที่กำหนดให้ส่งในโปรแกรมของ สกส.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C123","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","วันที่จำหน่าย หลังวันที่ได้รับข้อมูล","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C124","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","วันที่รับบริการ หลังวันส่งข้อมูลไปที่ สปสช.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C125","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ผู้ป่วยในสิทธิข้าราชการ/อปท.ไม่มีเลขอนุมัติ หรือ บันทึกเลขอนุมัติไม่ถูกต้อง หรือ ไม่มีเลขที่หนังสือส่งตัวจากหน่วยงานต้นสังกัด","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C126","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ระยะเวลาที่อยู่ในหน่วยบริการสั้นเกินไป","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C127","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","ข้อมูลผู้ป่วยนอกสิทธิข้าราชการ/อปท.ไม่มีในฐานเบิกจ่ายตรงของหน่วยบริการหรือไม่มีเลขอนุมัติ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C128","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เป็นข้อมูลสิทธิข้าราชการ/อปท.ที่รับบริการหรือจำหน่ายก่อน 1 ต.ค 56","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C129","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เป็นข้อมูลจำหน่ายก่อน 1 เม.ย 2556","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C130","ข้อมูลผู้ป่วย/วันเวลา","ERROR","","เป็นผู้ป่วยในเกิน 180 วัน แต่ไม่บ่งบอกการยืนยันความจำเป็น เตือนในกรณีวันลา","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C131","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ไม่เป็นไปตามเงื่อนไขการเบิกจ่ายกรณี ผู้ป่วยในรักษาข้ามเขต","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C132","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ไม่เป็นไปตามเงื่อนไขการเบิกจ่ายกรณีกองทุนโรคเฉพาะ ผู้ป่วยในรักษาข้ามเขต","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C133","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","บันทึกข้อมูลกรณีใช้หนังสือรับรองสิทธิไม่ครบถ้วน","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C134","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ไม่มีเลขที่บัตร ชื่อ-สกุล ของผู้มีสิทธิหลัก กรณีเป็นผู้อาศัยสิทธิ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C135","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ไม่ระบุประเภทสิทธิ หรือความสัมพันธ์ กรณีใช้หนังสือรับรองสิทธิ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
