"fund_key","file_no","requirement","source_doc","source_ref","source_date","verified"
"OP","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","9","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","10","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"OP","11","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","10","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"PP","11","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
