code,term_en,term_th,sex_limit,source_doc,source_ref,source_date,verified
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,ลำไส้อักเสบติดเชื้อ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
A15.0,Tuberculosis of lung confirmed by sputum microscopy with or without culture,วัณโรคปอด ยืนยันด้วยกล้องจุลทรรศน์,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
A41.9,"Sepsis, unspecified",ภาวะติดเชื้อในกระแสเลือด ไม่ระบุเชื้อ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
A90,Dengue fever [classical dengue],ไข้เดงกี,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
A91,Dengue haemorrhagic fever,ไข้เลือดออกเดงกี,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
B24,Unspecified human immunodeficiency virus [HIV] disease,โรคเอชไอวี ไม่ระบุรายละเอียด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
C22.0,Liver cell carcinoma,มะเร็งเซลล์ตับ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
C34.9,"Malignant neoplasm of bronchus or lung, unspecified",มะเร็งหลอดลม/ปอด ไม่ระบุตำแหน่ง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
C50.9,"Malignant neoplasm of breast, unspecified",มะเร็งเต้านม ไม่ระบุตำแหน่ง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
C61,Malignant neoplasm of prostate,มะเร็งต่อมลูกหมาก,M,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
D50.9,"Iron deficiency anaemia, unspecified",โลหิตจางจากการขาดธาตุเหล็ก,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
D64.9,"Anaemia, unspecified",โลหิตจาง ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E03.9,"Hypothyroidism, unspecified",ภาวะพร่องไทรอยด์,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E05.9,"Thyrotoxicosis, unspecified",ภาวะไทรอยด์เป็นพิษ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E11.6,Type 2 diabetes mellitus with other specified complications,เบาหวานชนิดที่ 2 มีภาวะแทรกซ้อนอื่นที่ระบุ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E11.65,Type 2 diabetes mellitus with hyperglycaemia,เบาหวานชนิดที่ 2 มีน้ำตาลในเลือดสูง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E11.9,Type 2 diabetes mellitus without complications,เบาหวานชนิดที่ 2 ไม่มีภาวะแทรกซ้อน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E78.5,"Hyperlipidaemia, unspecified",ไขมันในเลือดสูง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E86,Volume depletion,ภาวะขาดสารน้ำ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
E87.6,Hypokalaemia,โพแทสเซียมในเลือดต่ำ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
F03,Unspecified dementia,ภาวะสมองเสื่อม ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
F20.9,"Schizophrenia, unspecified",จิตเภท ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
F32.9,"Depressive episode, unspecified",ภาวะซึมเศร้า ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
G40.9,"Epilepsy, unspecified",ลมชัก ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
G45.9,"Transient cerebral ischaemic attack, unspecified",สมองขาดเลือดชั่วคราว,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
H25.9,"Senile cataract, unspecified",ต้อกระจกผู้สูงอายุ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I10,Essential (primary) hypertension,ความดันโลหิตสูง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I20.0,Unstable angina,เจ็บหน้าอกไม่คงที่,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I21.9,"Acute myocardial infarction, unspecified",กล้ามเนื้อหัวใจตายเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I48.9,"Atrial fibrillation and atrial flutter, unspecified",หัวใจห้องบนสั่นพลิ้ว,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I50.0,Congestive heart failure,หัวใจล้มเหลว,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I50.9,"Heart failure, unspecified",หัวใจล้มเหลว ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I61.9,"Intracerebral haemorrhage, unspecified",เลือดออกในสมอง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I63.9,"Cerebral infarction, unspecified",สมองขาดเลือด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
I64,"Stroke, not specified as haemorrhage or infarction",โรคหลอดเลือดสมอง ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J06.9,"Acute upper respiratory infection, unspecified",ติดเชื้อทางเดินหายใจส่วนบนเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J12.9,"Viral pneumonia, unspecified",ปอดอักเสบจากไวรัส,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J15.9,"Bacterial pneumonia, unspecified",ปอดอักเสบจากแบคทีเรีย,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J18.9,"Pneumonia, unspecified",ปอดอักเสบ ไม่ระบุเชื้อ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J20.9,"Acute bronchitis, unspecified",หลอดลมอักเสบเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,ปอดอุดกั้นเรื้อรัง มีติดเชื้อทางเดินหายใจส่วนล่าง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",ปอดอุดกั้นเรื้อรัง กำเริบเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J44.9,"Chronic obstructive pulmonary disease, unspecified",ปอดอุดกั้นเรื้อรัง ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J45.9,"Asthma, unspecified",หืด ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J46,Status asthmaticus,หืดกำเริบรุนแรง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
J96.0,Acute respiratory failure,หายใจล้มเหลวเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K25.9,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",แผลกระเพาะอาหาร,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K29.7,"Gastritis, unspecified",กระเพาะอาหารอักเสบ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K35.3,Acute appendicitis with localized peritonitis,ไส้ติ่งอักเสบเฉียบพลัน มีเยื่อบุช่องท้องอักเสบเฉพาะที่,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K35.8,"Acute appendicitis, other and unspecified",ไส้ติ่งอักเสบเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K80.2,Calculus of gallbladder without cholecystitis,นิ่วถุงน้ำดี ไม่มีถุงน้ำดีอักเสบ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
K92.2,"Gastrointestinal haemorrhage, unspecified",เลือดออกทางเดินอาหาร,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
L03.9,"Cellulitis, unspecified",เนื้อเยื่ออักเสบติดเชื้อ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
M17.9,"Gonarthrosis, unspecified",ข้อเข่าเสื่อม,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
M54.5,Low back pain,ปวดหลังส่วนล่าง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N10,Acute tubulo-interstitial nephritis,กรวยไตอักเสบเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N17.9,"Acute renal failure, unspecified",ไตวายเฉียบพลัน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N18.3,"Chronic kidney disease, stage 3",ไตเรื้อรังระยะ 3,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N18.5,"Chronic kidney disease, stage 5",ไตเรื้อรังระยะ 5,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N20.0,Calculus of kidney,นิ่วไต,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N39.0,"Urinary tract infection, site not specified",ติดเชื้อทางเดินปัสสาวะ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
N40,Hyperplasia of prostate,ต่อมลูกหมากโต,M,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
O24.4,Diabetes mellitus arising in pregnancy,เบาหวานขณะตั้งครรภ์,F,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
O80,Single spontaneous delivery,คลอดปกติ,F,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
O82,Single delivery by caesarean section,ผ่าตัดคลอด,F,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
P22.0,Respiratory distress syndrome of newborn,กลุ่มอาการหายใจลำบากในทารกแรกเกิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
P59.9,"Neonatal jaundice, unspecified",ตัวเหลืองในทารกแรกเกิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
R10.4,Other and unspecified abdominal pain,ปวดท้อง ไม่ระบุตำแหน่ง,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
R50.9,"Fever, unspecified",ไข้ ไม่ระบุสาเหตุ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
R55,Syncope and collapse,เป็นลมหมดสติ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
S06.0,Concussion,สมองกระทบกระเทือน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
S52.5,Fracture of lower end of radius,กระดูกเรเดียสส่วนปลายหัก,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
S72.0,Fracture of neck of femur,กระดูกคอสะโพกหัก,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
S72.1,Pertrochanteric fracture,กระดูกสะโพกหักบริเวณโทรแคนเตอร์,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
U07.1,"COVID-19, virus identified",โควิด-19 ยืนยันพบเชื้อ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
V89.2,"Person injured in unspecified motor-vehicle accident, traffic",บาดเจ็บจากอุบัติเหตุยานยนต์ ไม่ระบุชนิด,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
W19,Unspecified fall,พลัดตกหกล้ม ไม่ระบุลักษณะ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
X59.9,Exposure to unspecified factor causing unspecified injury,อุบัติเหตุจากปัจจัยไม่ระบุ,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
Z13.1,Special screening examination for diabetes mellitus,ตรวจคัดกรองเบาหวาน,,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-10-TM (สนย. สธ.) ไม่ใช่แคตตาล็อกเต็ม,,,0
