code,term_en,term_th,operative,source_doc,source_ref,source_date,verified
00.66,Percutaneous transluminal coronary angioplasty [PTCA],ขยายหลอดเลือดหัวใจด้วยบอลลูน,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
03.31,Spinal tap,เจาะน้ำไขสันหลัง,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
13.41,Phacoemulsification and aspiration of cataract,สลายต้อกระจกด้วยคลื่นเสียงความถี่สูง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
13.71,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage",ใส่เลนส์แก้วตาเทียมพร้อมผ่าต้อกระจก,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
31.1,Temporary tracheostomy,เจาะคอชั่วคราว,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
34.04,Insertion of intercostal catheter for drainage,ใส่สายระบายทรวงอก,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
38.93,"Venous catheterization, not elsewhere classified",ใส่สายสวนหลอดเลือดดำ,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
39.95,Hemodialysis,ฟอกเลือดด้วยเครื่องไตเทียม,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
45.13,Other endoscopy of small intestine,ส่องกล้องกระเพาะอาหารและลำไส้เล็กส่วนต้น,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
45.23,Colonoscopy,ส่องกล้องลำไส้ใหญ่,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
47.01,Laparoscopic appendectomy,ผ่าตัดไส้ติ่งผ่านกล้อง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
