"rule_code","version","seq","join_op","field","op","value"
"RUL-DRG-007","3","0","","แฟ้ม 7 · หมวดค่าใช้จ่าย (BILLGRCS)","อยู่ในชุด","03, 04"
"RUL-DRG-007","3","1","AND","แฟ้ม 7 · ราคาที่เบิกต่อหน่วย","มากกว่า","ราคาใน Drug Catalogue (STDCODE เดียวกัน)"
"RUL-DRG-007","3","2","AND","ส่วนต่างต่อรายการ","มากกว่า","0 บาท"
"RUL-ELG-004","1","0","","แฟ้ม 1 · ประเภทสิทธิ","อยู่ในชุด","OFC, UCS"
"RUL-ELG-004","1","1","AND","Approve Code / เลขปิดสิทธิ","ไม่ตรงกับ","ฐานข้อมูลหน่วยบริการ"
"RUL-CDX-009","2","0","","แฟ้ม 6 · รหัสหัตถการ","มีค่า","—"
"RUL-CDX-009","2","1","AND","คู่ Dx–Proc","ไม่อยู่ในตาราง","ตารางคู่ที่ประกาศ"
"RUL-EMR-003","2","0","","กองทุน","เท่ากับ","EMS / อุบัติเหตุฉุกเฉิน"
"RUL-EMR-003","2","1","AND","แฟ้ม 9 · เวลารับแจ้ง","ว่าง","—"
"RUL-EMR-003","2","2","OR","แฟ้ม 9 · พิกัดจุดเกิดเหตุ","ว่าง","—"
"RUL-DOC-002","2","0","","รายการเอกสารที่ต้องมี","ไม่ครบ","ตามประเภทเคส"
"RUL-CLN-011","1","0","","แฟ้ม 7 · STDCODE","อยู่ในชุด","รายการยากลุ่มพิเศษ"
"RUL-CLN-011","1","1","AND","มูลค่ารวมของรายการ","มากกว่า","10,000 บาท"
"RUL-DRG-015","1","0","","แฟ้ม 7 · จำนวนหน่วย","มากกว่า","เกณฑ์ต่อครั้งของ STDCODE นั้น"
"RUL-IPD-006","1","0","","แฟ้ม 14 · จำนวนวันนอน","ไม่เท่ากับ","วันจำหน่าย − วันรับไว้ − วันลากลับบ้าน"
"RUL-ELG-008","1","0","","วันที่รับบริการ","อยู่นอกช่วง","ช่วงสิทธิที่ตรวจสอบได้"
"RUL-DRG-004","1","0","","แฟ้ม 7 · ราคาที่เบิก","มากกว่า","ราคาใน Drug Catalogue"
"RUL-REF-001","2","0","","วันที่ให้บริการ","หลังจาก","วันหมดอายุใบส่งตัว"
"RUL-REF-001","2","1","OR","หัตถการที่ทำจริง","ไม่อยู่ใน","ขอบเขตที่อนุมัติ"
"RUL-REF-001","2","2","OR","ยอดเรียกเก็บสะสม","มากกว่า","วงเงินที่อนุมัติ"
"RUL-REF-002","1","0","","เลขอนุมัติบนใบส่งตัว","ไม่มีค่า","—"
"RUL-REF-002","1","1","AND","ประเภทการส่งต่อ","ไม่ใช่","ฉุกเฉิน (ขอย้อนหลังได้ 24 ชม.)"
"RUL-REF-002","1","2","OR","ใบตอบกลับ","เกินกำหนด","15 วันหลังให้บริการ"
"RUL-REF-003","1","0","","ช่องทางเรียกเก็บ","มีมากกว่า","1 ช่องทางในรายการเดียว"
"RUL-REF-003","1","1","OR","วันที่ยื่นเรียกเก็บ","หลังจาก","กำหนดยื่นตามระเบียบ"
"RUL-REF-003","1","2","OR","รายการที่ให้บริการเสร็จ","ยังไม่มี","ใบเรียกเก็บ"
"RUL-FIL-001","1","0","","กองทุนที่เบิก","กำหนดชุดแฟ้ม","ตารางกองทุน × แฟ้ม (12 กองทุน)"
"RUL-FIL-001","1","1","AND","แฟ้มที่ส่งมาในชุดข้อมูล","ไม่ครบตาม","แฟ้มบังคับของกองทุนนั้น"
"RUL-FIL-002","1","0","","ฟิลด์ประเภท ""ต้องระบุ (Y)""","มีค่าว่าง","อย่างน้อย 1 ฟิลด์"
"RUL-FIL-002","1","1","OR","ฟิลด์ประเภท ""ระบุ/ไม่ระบุ""","เข้าเงื่อนไขแต่ว่าง","16 ฟิลด์เงื่อนไข"
"RUL-SET-001","1","0","","รหัสวินิจฉัย/กลุ่มบริการ","อยู่ในชุด","CKD, HIV/AIDS, TB"
"RUL-SET-001","1","1","AND","ช่องทางส่งเบิกที่เลือก","เท่ากับ","NHSO Digital Platform"
"RUL-VIS-001","1","0","","สถานะการปิด Visit","ไม่เท่ากับ","Complete"
"RUL-VIS-001","1","1","OR","สถานะการปิดสิทธิ","เท่ากับ","ยังไม่ปิดสิทธิ"
"RUL-IPD-016","1","0","","จำนวนวันลากลับบ้าน","มากกว่า","0 วัน"
"RUL-IPD-016","1","1","AND","แฟ้มที่ส่งในชุดข้อมูล","ไม่มี","แฟ้ม 15 (NHSO LVD)"
"RUL-IPD-017","1","0","","การวินิจฉัยหลัก (PDx)","ไม่มีค่า","—"
"RUL-IPD-017","1","1","OR","ผลการจัดกลุ่ม DRG","ไม่มีค่า","—"
"RUL-IPD-018","1","0","","จำนวนวันนอนที่เบิกได้","มากกว่า","จุดตัดบนของกลุ่ม DRG"
"RUL-IPD-018","1","1","AND","บันทึกเหตุผลทางการแพทย์","ไม่มีค่า","—"
"RUL-IPD-019","1","0","","ใบสรุปการจำหน่าย","ไม่พบ","ในแฟ้มผู้ป่วยใน"
"RUL-IPD-019","1","1","OR","ลายเซ็นแพทย์ผู้รักษา","ไม่มีค่า","—"
"RUL-IPD-020","1","0","","หลักฐานการตรวจสอบสิทธิ ณ วันรับไว้","ไม่พบ","ในแฟ้มผู้ป่วยใน"
"RUL-IPD-020","1","1","OR","สถานพยาบาลที่รับไว้","ไม่ตรงกับ","บัตรรับรองสิทธิ"
"RUL-IPD-021","1","0","","เลขอนุมัติ / Approve Code","ไม่มีค่า","—"
"RUL-IPD-021","1","1","OR","เลขอนุมัติที่บันทึกใน HIS","ไม่ตรงกับ","ฐานข้อมูลหน่วยบริการ"
