"rule_code","as_of","hit","true_issue","override_count","false_positive","prevented","simulated"
"RUL-DRG-007","2026-08-06","38","92","5","8","184500","1"
"RUL-ELG-004","2026-08-06","21","95","2","5","142800","1"
"RUL-CDX-009","2026-08-06","44","78","14","22","96200","1"
"RUL-EMR-003","2026-08-06","12","88","8","12","58400","1"
"RUL-DOC-002","2026-08-06","63","71","19","29","41200","1"
"RUL-CLN-011","2026-08-06","9","100","0","0","88600","1"
"RUL-DRG-015","2026-08-06","87","46","41","54","12400","1"
"RUL-IPD-006","2026-08-06","0","0","0","0","0","1"
"RUL-ELG-008","2026-08-06","0","0","0","0","0","1"
"RUL-DRG-004","2026-08-06","15","60","33","40","18200","1"
"RUL-REF-001","2026-08-06","12","91","3","9","318400","1"
"RUL-REF-002","2026-08-06","18","89","4","11","96700","1"
"RUL-REF-003","2026-08-06","9","94","1","6","130900","1"
"RUL-FIL-001","2026-08-06","13","100","0","0","268400","1"
"RUL-FIL-002","2026-08-06","27","96","3","4","158200","1"
"RUL-SET-001","2026-08-06","6","100","0","0","84300","1"
"RUL-VIS-001","2026-08-06","13","98","2","2","112600","1"
"RUL-IPD-016","2026-08-06","7","100","0","0","96200","1"
"RUL-IPD-017","2026-08-06","11","100","0","0","412000","1"
"RUL-IPD-018","2026-08-06","9","78","18","22","74800","1"
"RUL-IPD-019","2026-08-06","24","97","2","3","186300","1"
"RUL-IPD-020","2026-08-06","8","88","6","12","58400","1"
"RUL-IPD-021","2026-08-06","16","94","3","6","224500","1"
"RUL-IPD-022","2026-08-06","14","92","4","8","143700","1"
"RUL-IPD-023","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-024","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-025","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-026","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-027","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-028","2026-08-06","0","0","0","0","0","1"
"RUL-IPD-029","2026-08-06","0","0","0","0","0","1"
