"rule_code","version","status","severity","action","maps_to_nhso","nhso_system","check_key","params_json","blocked_by","doc_id","doc_ref","origin_doc","author_ref","approver_ref","effective_from","effective_to","note","payers","services","source_doc","verified"
"RUL-DRG-007","3","ACTIVE","ERROR","FIX","P124","NHSO_DP","drug_price_catalogue","","","DOC-NHSO-2569-012","ข้อ 4.2 หน้า 18","","U-005","U-008","2026-07-20","","","UC|OFC|SSS|LGO","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DRG-007","2","RETIRED","ERROR","FIX","P124","NHSO_DP","","","","DOC-NHSO-2569-012","ข้อ 4.2 หน้า 18","","U-005","U-008","2026-03-01","","เพิ่มกองทุน OFC/SSS/LGO แต่ยังไม่ครอบคลุมหมวดยาสารอาหารทางเส้นเลือด","UC|OFC|SSS|LGO","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DRG-007","1","RETIRED","ERROR","FIX","P124","NHSO_DP","","","","DOC-NHSO-2569-012","ข้อ 4.2 หน้า 18","","U-004","U-008","2025-10-01","","รุ่นแรก — เฉพาะกองทุน UC ระดับแจ้งเตือน","UC|OFC|SSS|LGO","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-ELG-004","1","ACTIVE","ERROR","BLOCK","C305","NHSO_DP","payer_doc_present","{""docs"":[""approve_code""]}","","DOC-NHSO-2569-008","ข้อ 3.4","","U-004","U-008","2026-06-01","","","OFC|UC","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-CDX-009","2","ACTIVE","ERROR","FIX","P061","NHSO_DP","","","","DOC-NHSO-2569-019","ข้อ 5.2","","U-005","U-008","2026-05-15","","","UC|OFC|SSS|LGO|EMS","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-CDX-009","1","RETIRED","ERROR","FIX","P061","NHSO_DP","","","","DOC-NHSO-2569-019","ข้อ 5.2","","U-005","U-008","2026-01-10","","รุ่นแรก","UC|OFC|SSS|LGO|EMS","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-EMR-003","2","ACTIVE","ERROR","BLOCK","P208","NHSO_DP","","","","DOC-NHSO-2569-015","ข้อ 2.3","","U-004","U-008","2026-04-01","","","EMS|UC","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-EMR-003","1","RETIRED","ERROR","BLOCK","P208","NHSO_DP","","","","DOC-NHSO-2569-015","ข้อ 2.3","","U-004","U-008","2025-12-01","","รุ่นแรก","EMS|UC","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DOC-002","2","ACTIVE","WARNING","WARN","","","","","","DOC-INT-2569-004","ข้อ 2.1","","U-004","U-008","2026-03-01","","","UC|OFC|SSS|LGO","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DOC-002","1","RETIRED","WARNING","WARN","","","","","","DOC-INT-2569-004","ข้อ 2.1","","U-004","U-008","2025-11-01","","รุ่นแรก","UC|OFC|SSS|LGO","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
